T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
13.2,18.2,9.2,1021,92,0.8,7.6,11.1,255.875
11.1,18.3,5,1020.2,80,1.1,8,14.8,217.08333333333334
12.7,19.8,5.2,1017.9,78,1.3,5.4,14.8,229.16666666666666
12.8,19.8,7.2,1016.2,90,0.5,1.1,5.4,392.2083333333333
12.4,19.3,7.8,1014.5,91,0.3,0.4,3.5,536.5
11.9,20.7,4.4,1017.9,78,0.8,1.9,7.6,264.9166666666667
11.7,20.7,6.5,1017.3,89,0.3,0.9,7.6,404.5
12,20.2,7.1,1019.5,85,0.8,6.7,14.8,220.95833333333334
12.8,20.6,6.3,1020.8,83,0.8,3.1,9.4,251.375
13.9,21.6,7,1019.6,74,0.8,1.1,9.4,188.5
14.9,22.1,8.9,1017.2,78,1,2.8,7.6,164.75
12,22.1,9.6,1019.7,95,0.3,0.4,3.5,376.9166666666667
12.3,17.7,9,1019.7,92,0.5,1.7,7.6,362.0
12,17.7,8,1017.6,96,0.6,1.1,9.4,235.625
12.6,15.7,10.2,1020.1,95,0.6,1.9,11.1,0.0
14.5,21,8.6,1023.2,88,1.3,3.5,7.6,0.0
14.6,22.3,9,1021.2,86,1,4.4,9.4,0.0
13.4,22.3,11.5,1020.6,98,1.4,6.9,13,57.0
15.3,17.8,12.7,1019.8,97,1.1,6.9,9.4,114.33333333333333
15.6,20,12.4,1020.3,91,0.8,6.7,11.1,148.125
13.9,20,11,1019.3,91,0.8,8.1,13,184.875
11.7,18.2,9.4,1019.9,96,0.5,8.3,11.1,202.91666666666666
14.3,20.3,9.9,1019.1,88,0.6,8.9,14.8,205.125
16.6,24,10.1,1018.8,75,1.3,10,14.8,214.125
16.6,24,9.5,1016.6,71,1.1,7.4,14.8,202.95833333333334
15.1,24,10,1018.5,85,0.5,4.6,11.1,308.875
14.4,20.5,10.2,1019.3,87,0.3,0.9,3.5,323.875
14.8,21.1,10,1019.3,86,0.5,3,11.1,315.7916666666667
13.9,21.1,10.8,1019.8,83,0.8,2.6,7.6,322.25
15.3,24.4,6.8,1016.9,79,0.6,1.9,7.6,246.04166666666666
18.6,27.8,8.9,1014.4,65,1.3,5.6,57.6,200.91666666666666
18.8,27.8,12.6,1010.9,68,1.3,4.8,72,187.16666666666666
17.1,25.7,11.8,1011.5,74,1.3,1.7,7.6,187.79166666666666
18.7,25.6,10,1010.8,70,1.4,6.1,14.8,167.79166666666666
19.7,26.4,15.1,1009.3,72,1.6,15,29.4,99.5
13.8,26.4,9.6,1011.3,88,1,8.1,14.8,143.91666666666666
12.7,19.5,7,1012,66,1.4,9.3,25.9,100.25
12.5,20,4.6,1012.4,64,1.6,3.7,18.3,126.0
13.4,21.6,5.6,1013.6,67,1.4,3.7,11.1,163.91666666666666
